---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

1,52964e4bbdf9203d66cc616c,f000046/001,INVALID
2,52964e4bbdf9203d66cc616d,f000046/002,INVALID
3,52964e4bbdf9203d66cc616e,f000048/010,INVALID
4,52964e4bbdf9203d66cc616f,f000083/002,INVALID
5,52964e4bbdf9203d66cc6170,f000087/000,INVALID
6,52964e4bbdf9203d66cc6171,f000090/000,INVALID
7,52964e4bbdf9203d66cc6172,f000096/016,INVALID
8,52964e4bbdf9203d66cc6173,f000112/001,INVALID
9,52964e4bbdf9203d66cc6dbb,f000112/002,INVALID
10,52964e4bbdf9203d66cc750c,016449/00,INVALID
11,52964e4bbdf9203d66cc7734,f000120/000,INVALID
12,52964e4bbdf9203d66cc7735,f000121/000,INVALID
13,52964e4bbdf9203d66cc7736,f000122/000,INVALID
14,52964e4bbdf9203d66ccbf94,009347//000,INVALID
15,52964e4bbdf9203d66cce3e8,006065/0000,INVALID
16,52964e4bbdf9203d66ccf7cb,f000007/000,INVALID
17,52964e4bbdf9203d66ccf7cc,f000008/000,INVALID
18,52964e4bbdf9203d66ccf7cd,f000009/000,INVALID
19,52964e4bbdf9203d66ccf7ce,f000010/000,INVALID
20,52964e4bbdf9203d66ccf7cf,f000011/000,INVALID
21,52964e4bbdf9203d66ccf7d0,f000012/001,INVALID
22,52964e4bbdf9203d66ccf7d1,f000012/002,INVALID
23,52964e4bbdf9203d66ccf7d2,f000012/003,INVALID
24,52964e4bbdf9203d66ccf7d3,f000012/004,INVALID
25,52964e4bbdf9203d66ccf7d4,f000012/005,INVALID
26,52964e4bbdf9203d66ccf7d5,f000012/006,INVALID
27,52964e4bbdf9203d66ccf7d6,f000012/007,INVALID
28,52964e4bbdf9203d66ccf7d7,f000012/008,INVALID
29,52964e4bbdf9203d66ccf7d8,f000012/009,INVALID
30,52964e4bbdf9203d66ccf7d9,f000012/010,INVALID
31,52964e4bbdf9203d66ccf7da,f000012/011,INVALID
32,52964e4bbdf9203d66ccf7db,f000012/012,INVALID
33,52964e4bbdf9203d66ccf7dc,f000012/013,INVALID
34,52964e4bbdf9203d66ccf7dd,f000014/001,INVALID
35,52964e4bbdf9203d66ccf7de,f000014/002,INVALID
36,52964e4bbdf9203d66ccf7df,f000014/003,INVALID
37,52964e4bbdf9203d66ccf7e0,f000014/004,INVALID
38,52964e4bbdf9203d66ccf7e1,f000014/005,INVALID
39,52964e4bbdf9203d66ccf7e2,f000015/001,INVALID
40,52964e4bbdf9203d66ccf7e3,f000015/002,INVALID
41,52964e4bbdf9203d66ccf7e4,f000015/003,INVALID
42,52964e4bbdf9203d66ccf7e5,f000015/004,INVALID
43,52964e4bbdf9203d66ccf7e6,f000015/005,INVALID
44,52964e4bbdf9203d66ccf7e7,f000015/006,INVALID
45,52964e4bbdf9203d66ccf7e8,f000015/007,INVALID
46,52964e4bbdf9203d66ccf7e9,f000015/008,INVALID
47,52964e4bbdf9203d66ccf7ea,f000015/009,INVALID
48,52964e4bbdf9203d66ccf7eb,f000015/010,INVALID
49,52964e4bbdf9203d66ccf7ec,f000016/001,INVALID
50,52964e4bbdf9203d66ccf7ed,f000016/002,INVALID
51,52964e4bbdf9203d66ccf7ee,f000016/003,INVALID
52,52964e4bbdf9203d66ccf7ef,f000016/004,INVALID
53,52964e4bbdf9203d66ccf7f0,f000016/005,INVALID
54,52964e4bbdf9203d66ccf7f1,f000016/006,INVALID
55,52964e4bbdf9203d66ccf7f2,f000016/007,INVALID
56,52964e4bbdf9203d66ccf7f3,f000016/008,INVALID
57,52964e4bbdf9203d66ccf7f4,f000016/009,INVALID
58,52964e4bbdf9203d66ccf7f5,f000016/010,INVALID
59,52964e4bbdf9203d66ccf7f6,f000016/011,INVALID
60,52964e4bbdf9203d66ccf7f7,f000016/012,INVALID
61,52964e4bbdf9203d66ccf7f8,f000016/013,INVALID
62,52964e4bbdf9203d66ccf7f9,f000113/019,INVALID
63,52964e4bbdf9203d66ccf7fa,f000113/027,INVALID
64,52964e4bbdf9203d66ccf7fb,f000113/044,INVALID
65,52964e4bbdf9203d66ccf7fc,f000017/001,INVALID
66,52964e4bbdf9203d66ccf7fd,f000017/002,INVALID
67,52964e4bbdf9203d66ccf7fe,f000017/003,INVALID
68,52964e4bbdf9203d66ccf7ff,f000018/001,INVALID
69,52964e4bbdf9203d66ccf800,f000018/002,INVALID
70,52964e4bbdf9203d66ccf801,f000018/003,INVALID
71,52964e4bbdf9203d66ccf802,f000018/004,INVALID
72,52964e4bbdf9203d66ccf803,f000018/005,INVALID
73,52964e4bbdf9203d66ccf804,f000018/006,INVALID
74,52964e4bbdf9203d66ccf805,f000018/007,INVALID
75,52964e4bbdf9203d66ccf806,f000018/008,INVALID
76,52964e4bbdf9203d66ccf807,f000018/009,INVALID
77,52964e4bbdf9203d66ccf808,f000018/010,INVALID
78,52964e4bbdf9203d66ccf809,f000019/001,INVALID
79,52964e4bbdf9203d66ccf80a,f000019/002,INVALID
80,52964e4bbdf9203d66ccf80b,f000020/001,INVALID
81,52964e4bbdf9203d66ccf80c,f000020/002,INVALID
82,52964e4bbdf9203d66ccf80d,f000022/000,INVALID
83,52964e4bbdf9203d66ccf80e,f000023/001,INVALID
84,52964e4bbdf9203d66ccf80f,f000023/002,INVALID
85,52964e4bbdf9203d66ccf810,f000023/003,INVALID
86,52964e4bbdf9203d66ccf811,f000023/004,INVALID
87,52964e4bbdf9203d66ccf812,f000025/001,INVALID
88,52964e4bbdf9203d66ccf813,f000025/002,INVALID
89,52964e4bbdf9203d66ccf814,f000025/003,INVALID
90,52964e4bbdf9203d66ccf815,f000025/004,INVALID
91,52964e4bbdf9203d66ccf816,f000025/005,INVALID
92,52964e4bbdf9203d66ccf817,f000025/006,INVALID
93,52964e4bbdf9203d66ccf818,f000025/007,INVALID
94,52964e4bbdf9203d66ccf819,f000025/008,INVALID
95,52964e4bbdf9203d66ccf81a,f000025/009,INVALID
